,name,salary
0,Trae Young,"$43,031,940"
1,Clint Capela,"$22,265,280"
2,Caris LeVert,"$16,615,384"
3,Onyeka Okongwu,"$14,000,000"
4,Z. Risacher,"$12,569,040"
5,Terance Mann,"$11,423,077"
6,Larry Nance Jr.,"$11,205,000"
7,Georges Niang,"$8,500,000"
8,Dyson Daniels,"$6,059,520"
9,Jalen Johnson,"$4,510,905"
10,Kobe Bufkin,"$4,299,000"
11,Bones Hyland,"$4,158,439"
12,David Roddy,"$2,847,240"
13,Garrison Mathews,"$2,230,253"
14,Vit Krejci,"$2,162,606"
15,Mouhamed Gueye,"$1,891,857"
16,Dominick Barlow,"$922,983"
17,Keaton Wallace,"$578,577"
18,Daeqwon Plowden,"$347,451"
19,Seth Lundy,"$186,594"
20,Jacob Toppin,"$131,903"
21,Kevon Harris,"$119,972"
22,"$170,057,021","$170,057,021"
23,Jaylen Brown,"$49,205,800"
24,Jayson Tatum,"$34,848,340"
25,Jrue Holiday,"$30,000,000"
26,K. Porzingis,"$29,268,293"
27,Derrick White,"$19,821,429"
28,Al Horford,"$9,500,000"
29,Payton Pritchard,"$6,696,429"
30,Luke Kornet,"$2,800,834"
31,B. Scheierman,"$2,494,320"
32,Xavier Tillman,"$2,237,691"
33,Neemias Queta,"$2,162,606"
34,Sam Hauser,"$2,092,344"
35,Jordan Walsh,"$1,891,857"
36,Torrey Craig,"$1,046,289"
37,Drew Peterson,"$578,577"
38,JD Davison,"$571,779"
39,Miles Norris,"$131,903"
40,"$195,348,491","$195,348,491"
41,Ben Simmons,"$39,256,083"
42,Nicolas Claxton,"$27,556,817"
43,Cameron Johnson,"$23,062,500"
44,Bojan Bogdanovic,"$19,032,850"
45,D'Angelo Russell,"$18,692,307"
46,D. Melton,"$12,822,000"
47,Ziaire Williams,"$6,133,005"
48,Cam Thomas,"$4,041,249"
49,Day'Ron Sharpe,"$3,989,122"
50,Noah Clowney,"$3,244,080"
51,Dariq Whitehead,"$3,114,342"
52,Trendon Watford,"$2,726,603"
53,Maxwell Lewis,"$1,891,857"
54,Tyrese Martin,"$959,732"
55,Reece Beekman,"$578,577"
56,Tosan Evbuomwan,"$331,365"
57,Cui Yongxi,"$176,943"
58,Jaylen Martin,"$175,480"
59,Kendall Brown,"$154,423"
60,Tyson Etienne,"$131,903"
61,Killian Hayes,"$128,603"
62,Drew Timme,"$113,055"
63,"$168,312,896","$168,312,896"
64,LaMelo Ball,"$35,147,000"
65,Miles Bridges,"$27,173,913"
66,Jusuf Nurkic,"$18,125,000"
67,Grant Williams,"$13,025,250"
68,Josh Green,"$12,654,321"
69,Brandon Miller,"$11,424,382"
70,Josh Okogie,"$8,250,000"
71,Tidjane Salaun,"$7,488,720"
72,Davis Bertans,"$5,250,000"
73,Tre Mann,"$4,908,373"
74,Mark Williams,"$4,094,280"
75,Seth Curry,"$3,303,771"
76,Devonte Graham,"$2,850,000"
77,Nick Smith,"$2,587,108"
78,DaQuan Jeffries,"$2,425,403"
79,Charlie Brown,"$2,237,692"
80,D. Washington,"$2,162,607"
81,Reggie Jackson,"$1,946,229"
82,Moussa Diabate,"$1,314,865"
83,KJ Simpson,"$578,577"
84,Elfrid Payton,"$446,565"
85,Isaiah Wong,"$427,879"
86,Damion Baugh,"$196,245"
87,W. Moore,"$186,594"
88,Jared Rhoden,"$135,120"
89,Malachi Flynn,"$128,603"
90,Marcus Garrett,"$107,027"
91,"$168,575,524","$168,575,524"
92,Lonzo Ball,"$21,395,348"
93,Nikola Vucevic,"$20,000,000"
94,Patrick Williams,"$18,000,000"
95,Kevin Huerter,"$16,830,357"
96,Zach Collins,"$16,741,200"
97,Coby White,"$12,000,000"
98,Tre Jones,"$9,104,167"
99,Jalen Smith,"$8,571,429"
100,Josh Giddey,"$8,352,367"
101,Ayo Dosunmu,"$7,000,000"
102,Jevon Carter,"$6,500,000"
103,Chris Duarte,"$5,893,768"
104,Matas Buzelis,"$5,195,520"
105,Dalen Terry,"$3,510,480"
106,Torrey Craig,"$2,845,342"
107,Julian Phillips,"$1,891,857"
108,E.J. Liddell,"$578,577"
109,Adama Sanogo,"$578,577"
110,Emanuel Miller,"$344,234"
111,DJ Steward,"$215,548"
112,Jahmir Young,"$173,725"
113,"$165,722,496","$165,722,496"
114,Darius Garland,"$36,725,670"
115,Donovan Mitchell,"$35,410,310"
116,De'Andre Hunter,"$21,696,429"
117,Jarrett Allen,"$20,000,000"
118,Max Strus,"$15,212,068"
119,Evan Mobley,"$11,227,657"
120,Isaac Okoro,"$10,185,186"
121,Dean Wade,"$6,166,667"
122,Jaylon Tyson,"$3,326,160"
123,Ty Jerome,"$2,560,975"
124,Javonte Green,"$696,955"
125,Luke Travers,"$578,577"
126,Emoni Bates,"$578,577"
127,Ricky Rubio,"$424,672"
128,Nae'Qwan Tomlin,"$204,840"
129,Chuma Okeke,"$115,743"
130,"$165,110,486","$165,110,486"
131,Anthony Davis,"$43,219,440"
132,Kyrie Irving,"$40,000,000"
133,Klay Thompson,"$15,873,016"
134,PJ Washington,"$15,500,000"
135,Daniel Gafford,"$13,394,160"
136,Caleb Martin,"$9,186,594"
137,Naji Marshall,"$8,571,429"
138,Max Christie,"$7,142,857"
139,Dereck Lively,"$5,014,409"
140,Dwight Powell,"$4,000,000"
141,S. Dinwiddie,"$3,303,771"
142,O. Prosper,"$2,870,406"
143,JaVale McGee,"$2,208,856"
144,Jaden Hardy,"$2,019,699"
145,Brandon Williams,"$598,120"
146,Kessler Edwards,"$578,577"
147,Jazian Gortman,"$578,577"
148,Moses Brown,"$139,391"
149,Kai Jones,"$135,120"
150,AJ Lawson,"$77,500"
151,"$174,411,922","$174,411,922"
152,Nikola Jokic,"$51,415,938"
153,Jamal Murray,"$36,016,200"
154,M. Porter,"$35,859,950"
155,Aaron Gordon,"$22,841,455"
156,Zeke Nnaji,"$8,888,889"
157,Dario Saric,"$5,168,000"
158,R. Westbrook,"$3,303,771"
159,DeAndre Jordan,"$3,303,771"
160,Christian Braun,"$3,089,640"
161,DaRon Holmes,"$3,065,640"
162,Julian Strawther,"$2,552,596"
163,Vlatko Cancar,"$2,425,403"
164,Peyton Watson,"$2,413,560"
165,Jalen Pickett,"$1,891,857"
166,Hunter Tyson,"$1,891,857"
167,Spencer Jones,"$578,577"
168,PJ Hall,"$578,577"
169,Trey Alexander,"$578,577"
170,"$185,864,258","$185,864,258"
171,Tobias Harris,"$25,365,854"
172,Tim Hardaway Jr.,"$16,193,183"
173,Isaiah Stewart,"$15,000,000"
174,Cade Cunningham,"$13,940,809"
175,Dennis Schroder,"$13,025,250"
176,Ausar Thompson,"$8,376,291"
177,Ron Holland,"$8,245,320"
178,Jaden Ivey,"$7,977,240"
179,S. Fontecchio,"$7,692,308"
180,Malik Beasley,"$6,000,000"
181,Jalen Duren,"$4,536,840"
182,Paul Reed,"$4,015,938"
183,Marcus Sasser,"$2,755,229"
184,W. Moore,"$2,537,040"
185,Lindy Waters III,"$2,196,970"
186,Bobi Klintman,"$1,157,153"
187,Daniss Jenkins,"$578,577"
188,Ron Harper Jr.,"$315,280"
189,Tolu Smith,"$315,280"
190,Alondes Williams,"$244,502"
191,Javante McCoy,"$32,596"
192,"$140,501,660","$140,501,660"
193,Stephen Curry,"$55,761,217"
194,Jimmy Butler,"$48,798,677"
195,Draymond Green,"$24,107,143"
196,Gary Payton II,"$9,130,000"
197,Buddy Hield,"$8,780,488"
198,Jonathan Kuminga,"$7,636,307"
199,Moses Moody,"$5,803,269"
200,B. Podziemski,"$3,519,960"
201,Gui Santos,"$1,891,857"
202,T. Jackson-Davis,"$1,891,857"
203,Pat Spencer,"$869,906"
204,Quinten Post,"$789,588"
205,Kevin Knox II,"$660,790"
206,Jackson Rowe,"$244,502"
207,Taran Armstrong,"$157,640"
208,Braxton Key,"$129,415"
209,Daeqwon Plowden,"$77,500"
210,Yuri Collins,"$66,503"
211,"$170,316,619","$170,316,619"
212,Fred VanVleet,"$42,846,615"
213,Dillon Brooks,"$23,255,493"
214,Steven Adams,"$12,600,000"
215,Jalen Green,"$12,483,048"
216,Reed Sheppard,"$10,098,960"
217,Jabari Smith,"$9,770,880"
218,Amen Thompson,"$9,249,748"
219,Jeff Green,"$8,000,000"
220,Jae'Sean Tate,"$7,565,217"
221,Alperen Sengun,"$5,424,654"
222,Aaron Holiday,"$4,668,000"
